"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"WLXH7GLU","journalArticle","2010","Bowers, Alex J.","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","Practical Assessment, Research & Evaluation","","1531-7714","","","School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)","2010-05","2017-09-12 14:45:23","2017-09-12 14:45:23","2014-09-24 19:31:29","","","7","15","","","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students","","","","","","","en","","","","","ERIC","","","<ul style=""-en-clipboard: true;""> <li>The article made me understand how similar methods (clustering and data visualization) can be used in HR analytics, to predict turnover and absenteeism. Learning data mining in education can help me make sense of how data analytics can also be used in HR analytics / organization analysis.</li> <li>The pictures in this article already contains a lot of useful information and implications for intervention. </li> <li>Some basic concepts:</li> <li style=""list-style: none;""> <ul> <li>3DM: data driven decision making</li> <li>SSF: success at school factor</li> <li>cluster tree / dendrogram — based on the distance calculation [uncentered correlation was used as the distance measure here]</li> <li style=""list-style: none;""> <ul> <li>shorter horizontal lines indicates more similarity; </li> <li>vertical lines connect the closest rows to form the clusters. each data row is clustered by similarity.</li> </ul> </li> <li>heatmap: hotter color indicates a higher score (red); cooler color indicates a lower score (blue); neural color indicates a central score (grey)</li> <li>hierarchical cluster analysis (HCA): supervised clustering — begins with a defined set of assumptions about the categorization of the data; unsupervised clustering — assumes nothing about the categorization and is designed to statistically discover the underlying structure patterns within the dataset, a procedure well suited to discovering the underlying patterns within student data in education.</li> <li>missing data might have patterns (average linkage can help to address the missing data issue)</li> <li>combination of the cluster analysis, cluster tree, and heat map, creates the clustergram</li> <li>can compared with categorical data as well</li> </ul> </li> <li>Some interesting things worth notice:</li> <li style=""list-style: none;""> <ul> <li>teacher-assigned grades is a weak indicator of academic knowledge when compared to standardized test score — 75% of teacher-assigned grades appear to assess a student’s ability to negotiate the social processes of school</li> <li>don’t forget the goal of the study. this is very important.</li> </ul> </li> </ul>","","http://eric.ed.gov/?id=EJ933686","","data; data analysis; Decision Making; Dropouts; Elementary School Students; Grades (Scholastic); Identification; MULTIVARIATE analysis; School Districts; Secondary School Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SSXU84W9","journalArticle","2014","Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M.","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","CBE-Life Sciences Education","",", 1931-7913","10.1187/cbe.13-08-0162","http://www.lifescied.org/content/13/2/167","Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.","2014-06-20","2017-09-12 14:45:23","2017-09-12 14:45:23","2014-08-20 20:21:46","167-178","","2","13","","CBE Life Sci Educ","Understanding Classrooms through Social Network Analysis","","","","","","","en","","","","","www.lifescied.org","","","","","http://www.lifescied.org/content/13/2/167","Week 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EQX2JY7Q","blogPost","2014","Young, Jeffrey R.","Why Students Should Own Their Educational Data","The Chronicle of Higher Education Blogs: Wired Campus","","","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","2014-08-21","2017-09-12 14:45:24","2017-09-12 14:45:24","2014-08-23 21:32:22","","","","","","","","","","","","","","","","","","","","","","<ul style=""-en-clipboard: true;""> <li>Even there is not much details in this article, I love the idea that students should own their education data. We still face the core question - Who should own the data? Traditional standard teaching practice assumes at least average skills across the board. However, it failed to take the individual differences into consideration.</li> <li>For a group of people, statistics patterns might have some implications on adjustment in policies, design of teach activities. Sometimes those general implications try to satisfy most people, but actually they fit nobody. The aggregate statistics means nothing towards an individual. However, if we start from an individual pattern perspective (like IRT, CDM), it could provide more insights towards each individual. </li> <li>I agree that personality and learning varies across contexts. That’s why when we make attribution or interpretation through data, we need to be very careful about the assumptions and limitation that we might have.</li> <li>This article also raises a very interesting question - what is your value proposition of 4-year education, considering the trend of MOOCs. Some people might think it is the climate of the school, also the network or soft resources in school. From my perspective, these face-to-face things still can be done through the internet as long as we have proper platform and regulation, have something to support from a system perspective. At the end of the day, the question should be answered by individual differences - who am I? what kind of study suits me better? what do I want to be in the future? That’s why even from learning perspective, educational data should contain individual patterns, and it should be owned by students, to stimulate their awareness, ownership, engagement towards their life. The interviewee did understand this phenomena from a  relative objective perspective - business model, and he did not anti-company as well. Instead, he thinks that market needs an innovative solution in order to become a functional market.</li> <li>I am surprised to see that the interviewee also pointed out the phenomena - everyone is trying to innovate in their platform, and there is lack of interoperability standards or formate standards from a long-term sustainable development perspective. This is “a lack of appreciation that data is the thing”.</li> </ul>","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EIEBA2KU","journalArticle","1994","Corbett, Albert T.; Anderson, John R.","Knowledge tracing: Modeling the acquisition of procedural knowledge","User Modeling and User-Adapted Interaction","","0924-1868, 1573-1391","10.1007/BF01099821","http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/BF01099821","This paper describes an effort to model students' changing knowledge state during skill acquisition. Students in this research are learning to write short programs with the ACT Programming Tutor (APT). APT is constructed around a production rule cognitive model of programming knowledge, called theideal student model. This model allows the tutor to solve exercises along with the student and provide assistance as necessary. As the student works, the tutor also maintains an estimate of the probability that the student has learned each of the rules in the ideal model, in a process calledknowledge tracing. The tutor presents an individualized sequence of exercises to the student based on these probability estimates until the student has ‘mastered’ each rule. The programming tutor, cognitive model and learning and performance assumptions are described. A series of studies is reviewed that examine the empirical validity of knowledge tracing and has led to modifications in the process. Currently the model is quite successful in predicting test performance. Further modifications in the modeling process are discussed that may improve performance levels.","1994-12-01","2017-09-12 14:45:24","2017-09-12 14:45:24","2013-04-21 21:21:19","253-278","","4","4","","User Model User-Adap Inter","Knowledge tracing","","","","","","","en","","","","","link.springer.com.ezp-prod1.hul.harvard.edu","","","","","","","Education (general); empirical validity; individual differences; intelligent tutoring systems; Learning; Management of Computing and Information Systems; mastery learning; Multimedia Information Systems; procedural knowledge; Psychology, general; student modeling; User Interfaces and Human Computer Interaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2HEBQYSA","conferencePaper","2012","Siemens, George; Baker, Ryan S. J. d.","Learning Analytics and Educational Data Mining: Towards Communication and Collaboration","Proceedings of the 2Nd International Conference on Learning Analytics and Knowledge","978-1-4503-1111-3","","10.1145/2330601.2330661","http://doi.acm.org/10.1145/2330601.2330661","Growing interest in data and analytics in education, teaching, and learning raises the priority for increased, high-quality research into the models, methods, technologies, and impact of analytics. Two research communities -- Educational Data Mining (EDM) and Learning Analytics and Knowledge (LAK) have developed separately to address this need. This paper argues for increased and formal communication and collaboration between these communities in order to share research, methods, and tools for data mining and analysis in the service of developing both LAK and EDM fields.","2012","2017-09-12 14:45:24","2017-09-12 14:45:24","2015-01-16 03:15:55","252–254","","","","","","Learning Analytics and Educational Data Mining","","","","","ACM","New York, NY, USA","","","","","","ACM Digital Library","","","<p>Questions:</p> <ul> <li>Do you think EDM and LAK will become one in the future?</li> </ul> <p> </p> <p>Notes:</p> <ul> <li>Similarities <ul> <li>are defined in relatively similar ways</li> <li>both reflect the emergency of data-intensive approaches to education; both have the goal of improving the quality of analysis of large-scale educational data, to support both basic research and practice in education</li> </ul> </li> <li style=""text-align: left;"">Key Distinctions <ul> <li style=""text-align: left;""><strong>Discovery</strong>: LAK - leverage human judgement; EDM - automated discovery.</li> <li style=""text-align: left;""><strong>Adaptation &amp; Personalizatio</strong>n: LAK - informing and empowering instructors and learners; EDM - automated adaptation (by computer with no human in the loop)</li> <li style=""text-align: left;""><strong>Reduction &amp; Holism</strong>: LAK - understand systems as wholes, in their full complexity; EDM - reduce to components and analyze individual components and relationships between them</li> <li style=""text-align: left;""><strong>Origins</strong>: LAK - semantic web, ""intelligent curriculum"", outcome prediction, and systemic interventions; EDM - educational software and student modeling, predicting course outcomes</li> <li style=""text-align: left;""><strong>Technique &amp; Methods</strong>: LAK - social network analysis, sentiment analysis, influence analytics, learner success prediction, concept analysis, sensemaking models; EDM - classification, clustering, Bayesian modeling, relationship mining, discovery with models, visualization</li> </ul> </li> <li style=""text-align: left;"">collaboration allows creativity and advancement that might not otherwise occur in a single, monolithic research culture</li> <li style=""text-align: left;"">formalize approaches for dissemination of research and enacting cross-community ties; strengthen opportunities to influence non-academic research and practice</li> </ul>","","","","Collaboration; educational data mining; learning analytics and knowledge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WQLC4B73","journalArticle","2008","Baker, Ryan S. J. d; Corbett, Albert T.; Roll, Ido; Koedinger, Kenneth R.","Developing a generalizable detector of when students game the system","User Modeling and User-Adapted Interaction","","0924-1868, 1573-1391","10.1007/s11257-007-9045-6","http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/s11257-007-9045-6","Some students, when working in interactive learning environments, attempt to “game the system”, attempting to succeed in the environment by exploiting properties of the system rather than by learning the material and trying to use that knowledge to answer correctly. In this paper, we present a system that can accurately detect whether a student is gaming the system, within a Cognitive Tutor mathematics curricula. Our detector also distinguishes between two distinct types of gaming which are associated with different learning outcomes. We explore this detector’s generalizability, and find that it transfers successfully to both new students and new tutor lessons.","2008-08-01","2017-09-12 14:45:25","2017-09-12 14:45:25","2015-01-16 16:33:56","287-314","","3","18","","User Model User-Adap Inter","","","","","","","","en","","","","","link.springer.com.ezp-prod1.hul.harvard.edu","","","","","http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/s11257-007-9045-6","","Education (general); Management of Computing and Information Systems; Multimedia Information Systems; student modeling; User Interfaces and Human Computer Interaction; Behavior detection; Cognitive tutors; Gaming the system; Generalizable models; Interactive learning environments; Latent response models; Machine learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MRTYE7IL","book","2015","Zheng, Alice","Evaluating Machine Learning Models","","","","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","Data science today is a lot like the Wild West: there’s endless opportunity and excitement, but also a lot of chaos and confusion. If you’re new to data science and applied machine learning, evaluating a machine-learning model can seem pretty overwhelming...","2015-09","2017-09-12 14:45:25","2017-09-12 14:45:25","2015-12-15 18:26:39","","","","","","","","","","","","O'Reily Media","Sebastopol, CA","","","","","","","","","","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RKJALJJJ","blogPost","2015","Leong, B; Polonetsky, J","Why Opting Out of Student Data Collection Isn’t the Solution","EdSurge","","","","https://www.edsurge.com/news/2015-03-16-why-opting-out-of-student-data-collection-isn-t-the-solution","In every privacy debate across every industry, the same questions arise about the rights of individuals to “opt-out” of their data being collected or used. So it should come as no surprise that the “when” and “how” of parent and student opt-outs of education data collection or use has become a robust","2015-03-16","2017-09-12 14:45:26","2017-09-12 14:45:26","2016-01-16 16:31:25","","","","","","","","","","","","","","","","","","","","","","","","https://www.edsurge.com/news/2015-03-16-why-opting-out-of-student-data-collection-isn-t-the-solution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WTJPEGZY","videoRecording","2015","Educause","Why Is Measuring Learning So Difficult?","","","","","https://www.youtube.com/watch?v=_iv8A1pHNYA","Several higher education learning and assessment professionals discuss the difficulties of measuring learning.","2015-08-17","2017-09-12 14:45:26","2017-09-12 14:45:26","2016-01-17 18:50:57","","","","","","","","","","","","","","","","","","","YouTube","","","<p><span style=""color: #ff0000;""><em><strong>Conclusion:</strong></em></span></p> <p>1.The core reason why learning is difficult to measure comes from its controversial definition/construct. - WHAT</p> <ul> <li>Oversimplify not good, too complex not good. Need to find a point somethere in the middle</li> <li>Clarify what things(like what behaviors) happen that could indicate learning, or what specifically care about</li> </ul> <p>2.Another important reason is the difficulty to measure competencies - HOW</p> <ul> <li>Competencies and Learning are latent variables, psychological construct. hard to measure may because of the controversial definition</li> <li>Ability to assess competencies -&gt; need new technology</li> <li>Contextual - some fields tend to have weaker tools to measure and some not</li> </ul> <p>3.Measure learning is not just for diagnosis, but for revealing more possibilities to the learner - WHY</p> <p> </p> <p><em><strong>Note - Why measuring learning is difficult:</strong></em></p> <ul> <li>multi-dimensional: simplify it too much to capture the data / the understanding of the data</li> <li>learning is too board: too much, too contextual and idiosyncratic</li> <li>in some fields like computer science, have impressive tools to figure out; but in other fields especially humanities and professions we have much weaker tools for measuring learning</li> <li>learning is very personal thing: culture construct is hard to define and measure, but behaviors patterns/outputs can</li> <li>ask a wrong question - depends on what you mean by ""measure"": maybe no reliable simple proxy indicators of learning. learning is curiosity -&gt; memory; imagination -&gt; paraphrase. U word is understanding, cant's used because it is cognition word, things that we can't measure. certain kinds of things could indicate learning.</li> <li>culture and social implication, individual psychology. learning is complex and blackbox, which makes more difficult to respond to the data.</li> <li>1.ability to assess any competencies is problems. 2.Like MOOC, we don't know what people's competencies are. learning is kind of multiple measures of competence strung together that can associate with a particular experience. need to have new technologies to assess learning, people's learning at different time points.</li> <li>say what you want, measure efficiently and precisely. constructs. when talk about measure, really talking about either psychological constructs like self-efficacy or achievement.</li> <li>analytic is for the learner as well, be conscious. not to answer a question right or wrong, but reflection their learning process. analytic to reveal more possibilities for their own connected learning, not just diagnosis. be a doorway to suggest what else is possible.</li> <li>both oversimplify and too complex to understand are problems. maybe somewhere in the middle can find a good definition.</li> </ul> <p> </p>","","","","Learning; Assessment; Education; educational assessment; EDUCAUSE; Higher Education; learners; Teaching and learning","","","","","","","","","","","","","","","","","","","","","470 seconds","","","","","","","","","","","","","","","","","","","","","","","","",""
"9JQZTT9N","webpage","2016","Weinersmith, Zach","Saturday Morning Breakfast Cereal","","","","","http://www.smbc-comics.com/index.php?id=3978","","2016-01-05","2017-09-12 14:45:26","2017-09-12 14:45:26","2016-01-18 18:17:09","","","","","","","","","","","","","","","","","","","","","","<ul style=""box-sizing: border-box; padding-left: 2em; text-align: start; text-indent: 0px; background-color: #ffffff; -en-clipboard: true;""> <li>This is a funny but thought-provoking comic.</li> <li><span style=""background-color: #ffffff;"">Undoubtedly, what we care (educational concept or psychological construct) plays an important role in the policy, and then education process of the students.</span></li> <li><span style=""background-color: #ffffff;"">Cause-and-effect relationship is not correlation. The direction of correction can be two sides. We should not over-interpret the statistics results.</span></li> <li><span style=""background-color: #ffffff;"">Statistics is dead until it is connected with the context, the theory etc. How we organize and interpret the data is much more important.</span></li> </ul>","","http://www.smbc-comics.com/index.php?id=3978","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
